,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4
503,0.7647058823529411,0.7352941176470589,molWeight,molLogP,molArea,C_R0
504,0.7941176470588235,0.7352941176470589,molWeight,molLogP,molArea,C_sp3
505,0.7647058823529411,0.7647058823529411,molWeight,molLogP,molArea,posCharge/Volume
506,0.7941176470588235,0.7352941176470589,molWeight,molLogP,molArea,negCharge/Volume
507,0.7352941176470589,0.7352941176470589,molWeight,molLogP,molArea,nof_RotB
508,0.7941176470588235,0.7352941176470589,molWeight,molLogP,molArea,nof_Fragments
509,0.7647058823529411,0.7058823529411765,molWeight,molLogP,molArea,nof_PO4
510,0.7647058823529411,0.7647058823529411,molWeight,molLogP,molArea,nof_SO3H
511,0.7647058823529411,0.7352941176470589,molWeight,molLogP,molArea,nof_SH
512,0.7352941176470589,0.7352941176470589,molWeight,molLogP,molArea,nof_NH2
513,0.7941176470588235,0.7058823529411765,molWeight,molLogP,molArea,nof_COOH
514,0.7647058823529411,0.7647058823529411,molWeight,molLogP,molArea,nof_OH
515,0.7647058823529411,0.7647058823529411,molWeight,molLogP,molArea,nof_acetyl
520,0.7352941176470589,0.7058823529411765,molWeight,molLogP,PSA/Area,molCharge_total
521,0.7058823529411765,0.7058823529411765,molWeight,molLogP,PSA/Area,nof_Rings
522,0.7352941176470589,0.7352941176470589,molWeight,molLogP,PSA/Area,Complexity
541,0.7352941176470589,0.7058823529411765,molWeight,molLogP,nof_Atoms,nof_Chirals
542,0.7352941176470589,0.7647058823529411,molWeight,molLogP,nof_Atoms,nof_HBA
543,0.7352941176470589,0.7941176470588235,molWeight,molLogP,nof_Atoms,nof_HBD
544,0.7941176470588235,0.7647058823529411,molWeight,molLogP,nof_Atoms,molCharge_total
545,0.7647058823529411,0.7647058823529411,molWeight,molLogP,nof_Atoms,nof_Rings
546,0.7647058823529411,0.7647058823529411,molWeight,molLogP,nof_Atoms,Complexity
547,0.7647058823529411,0.7941176470588235,molWeight,molLogP,nof_Atoms,nof_posCharge
548,0.7647058823529411,0.7941176470588235,molWeight,molLogP,nof_Atoms,nof_negCharge
549,0.7647058823529411,0.7941176470588235,molWeight,molLogP,nof_Atoms,a_heavy
550,0.7647058823529411,0.7941176470588235,molWeight,molLogP,nof_Atoms,C_R2
551,0.7352941176470589,0.7941176470588235,molWeight,molLogP,nof_Atoms,C_R1
552,0.7647058823529411,0.7058823529411765,molWeight,molLogP,nof_Atoms,C_R0
553,0.7058823529411765,0.7647058823529411,molWeight,molLogP,nof_Atoms,C_sp3
554,0.7647058823529411,0.7647058823529411,molWeight,molLogP,nof_Atoms,posCharge/Volume
555,0.7352941176470589,0.7352941176470589,molWeight,molLogP,nof_Atoms,negCharge/Volume
556,0.7352941176470589,0.7352941176470589,molWeight,molLogP,nof_Atoms,nof_RotB
557,0.7352941176470589,0.7647058823529411,molWeight,molLogP,nof_Atoms,nof_Fragments
558,0.7352941176470589,0.7647058823529411,molWeight,molLogP,nof_Atoms,nof_PO4
559,0.7941176470588235,0.7647058823529411,molWeight,molLogP,nof_Atoms,nof_SO3H
560,0.7941176470588235,0.7647058823529411,molWeight,molLogP,nof_Atoms,nof_SH
562,0.7941176470588235,0.7647058823529411,molWeight,molLogP,nof_Atoms,nof_COOH
563,0.7941176470588235,0.7647058823529411,molWeight,molLogP,nof_Atoms,nof_OH
564,0.7941176470588235,0.7941176470588235,molWeight,molLogP,nof_Atoms,nof_acetyl
565,0.7352941176470589,0.7352941176470589,molWeight,molLogP,nof_Chirals,nof_HBA
566,0.7058823529411765,0.7647058823529411,molWeight,molLogP,nof_Chirals,nof_HBD
569,0.8235294117647058,0.8235294117647058,molWeight,molLogP,nof_Chirals,Complexity
570,0.7058823529411765,0.7058823529411765,molWeight,molLogP,nof_Chirals,nof_posCharge
577,0.7352941176470589,0.7058823529411765,molWeight,molLogP,nof_Chirals,posCharge/Volume
579,0.7941176470588235,0.7058823529411765,molWeight,molLogP,nof_Chirals,nof_RotB
580,0.7352941176470589,0.7058823529411765,molWeight,molLogP,nof_Chirals,nof_Fragments
581,0.7058823529411765,0.7058823529411765,molWeight,molLogP,nof_Chirals,nof_PO4
588,0.7058823529411765,0.7058823529411765,molWeight,molLogP,nof_HBA,nof_HBD
589,0.8235294117647058,0.7352941176470589,molWeight,molLogP,nof_HBA,molCharge_total
590,0.7058823529411765,0.7352941176470589,molWeight,molLogP,nof_HBA,nof_Rings
591,0.7941176470588235,0.8235294117647058,molWeight,molLogP,nof_HBA,Complexity
592,0.7352941176470589,0.7058823529411765,molWeight,molLogP,nof_HBA,nof_posCharge
593,0.7941176470588235,0.7058823529411765,molWeight,molLogP,nof_HBA,nof_negCharge
594,0.7647058823529411,0.7058823529411765,molWeight,molLogP,nof_HBA,a_heavy
595,0.7352941176470589,0.7058823529411765,molWeight,molLogP,nof_HBA,C_R2
596,0.7058823529411765,0.7352941176470589,molWeight,molLogP,nof_HBA,C_R1
597,0.7352941176470589,0.7352941176470589,molWeight,molLogP,nof_HBA,C_R0
598,0.7352941176470589,0.7058823529411765,molWeight,molLogP,nof_HBA,C_sp3
599,0.7647058823529411,0.7058823529411765,molWeight,molLogP,nof_HBA,posCharge/Volume
601,0.7941176470588235,0.7647058823529411,molWeight,molLogP,nof_HBA,nof_RotB
602,0.7352941176470589,0.7941176470588235,molWeight,molLogP,nof_HBA,nof_Fragments
603,0.7352941176470589,0.7058823529411765,molWeight,molLogP,nof_HBA,nof_PO4
604,0.7352941176470589,0.7058823529411765,molWeight,molLogP,nof_HBA,nof_SO3H
605,0.7352941176470589,0.7352941176470589,molWeight,molLogP,nof_HBA,nof_SH
607,0.7647058823529411,0.7352941176470589,molWeight,molLogP,nof_HBA,nof_COOH
608,0.7352941176470589,0.7058823529411765,molWeight,molLogP,nof_HBA,nof_OH
609,0.7352941176470589,0.7058823529411765,molWeight,molLogP,nof_HBA,nof_acetyl
610,0.7647058823529411,0.7941176470588235,molWeight,molLogP,nof_HBD,molCharge_total
611,0.7352941176470589,0.7941176470588235,molWeight,molLogP,nof_HBD,nof_Rings
612,0.8235294117647058,0.7647058823529411,molWeight,molLogP,nof_HBD,Complexity
613,0.7352941176470589,0.7647058823529411,molWeight,molLogP,nof_HBD,nof_posCharge
614,0.7647058823529411,0.7941176470588235,molWeight,molLogP,nof_HBD,nof_negCharge
615,0.7352941176470589,0.7941176470588235,molWeight,molLogP,nof_HBD,a_heavy
616,0.7352941176470589,0.7647058823529411,molWeight,molLogP,nof_HBD,C_R2
617,0.7058823529411765,0.7941176470588235,molWeight,molLogP,nof_HBD,C_R1
618,0.7058823529411765,0.7058823529411765,molWeight,molLogP,nof_HBD,C_R0
619,0.6764705882352942,0.7647058823529411,molWeight,molLogP,nof_HBD,C_sp3
620,0.7352941176470589,0.7647058823529411,molWeight,molLogP,nof_HBD,posCharge/Volume
621,0.6176470588235294,0.7647058823529411,molWeight,molLogP,nof_HBD,negCharge/Volume
623,0.7352941176470589,0.7647058823529411,molWeight,molLogP,nof_HBD,nof_Fragments
624,0.7647058823529411,0.7647058823529411,molWeight,molLogP,nof_HBD,nof_PO4
625,0.7647058823529411,0.7941176470588235,molWeight,molLogP,nof_HBD,nof_SO3H
626,0.7352941176470589,0.7647058823529411,molWeight,molLogP,nof_HBD,nof_SH
628,0.7647058823529411,0.7647058823529411,molWeight,molLogP,nof_HBD,nof_COOH
629,0.7647058823529411,0.7647058823529411,molWeight,molLogP,nof_HBD,nof_OH
630,0.7352941176470589,0.7352941176470589,molWeight,molLogP,nof_HBD,nof_acetyl
631,0.7647058823529411,0.7058823529411765,molWeight,molLogP,molCharge_total,nof_Rings
632,0.8823529411764706,0.7941176470588235,molWeight,molLogP,molCharge_total,Complexity
633,0.7647058823529411,0.7058823529411765,molWeight,molLogP,molCharge_total,nof_posCharge
634,0.7941176470588235,0.7058823529411765,molWeight,molLogP,molCharge_total,nof_negCharge
636,0.7647058823529411,0.7058823529411765,molWeight,molLogP,molCharge_total,C_R2
637,0.7647058823529411,0.7352941176470589,molWeight,molLogP,molCharge_total,C_R1
639,0.6764705882352942,0.7058823529411765,molWeight,molLogP,molCharge_total,C_sp3
640,0.8235294117647058,0.7058823529411765,molWeight,molLogP,molCharge_total,posCharge/Volume
642,0.7647058823529411,0.7352941176470589,molWeight,molLogP,molCharge_total,nof_RotB
643,0.7941176470588235,0.7647058823529411,molWeight,molLogP,molCharge_total,nof_Fragments
644,0.7941176470588235,0.7058823529411765,molWeight,molLogP,molCharge_total,nof_PO4
645,0.8235294117647058,0.7058823529411765,molWeight,molLogP,molCharge_total,nof_SO3H
646,0.8235294117647058,0.7352941176470589,molWeight,molLogP,molCharge_total,nof_SH
648,0.8529411764705882,0.7352941176470589,molWeight,molLogP,molCharge_total,nof_COOH
649,0.7647058823529411,0.7058823529411765,molWeight,molLogP,molCharge_total,nof_OH
651,0.8235294117647058,0.7647058823529411,molWeight,molLogP,nof_Rings,Complexity
652,0.7647058823529411,0.7058823529411765,molWeight,molLogP,nof_Rings,nof_posCharge
653,0.7941176470588235,0.7352941176470589,molWeight,molLogP,nof_Rings,nof_negCharge
654,0.7352941176470589,0.7058823529411765,molWeight,molLogP,nof_Rings,a_heavy
655,0.7647058823529411,0.7352941176470589,molWeight,molLogP,nof_Rings,C_R2
656,0.7352941176470589,0.7058823529411765,molWeight,molLogP,nof_Rings,C_R1
658,0.6470588235294118,0.7058823529411765,molWeight,molLogP,nof_Rings,C_sp3
659,0.7647058823529411,0.7352941176470589,molWeight,molLogP,nof_Rings,posCharge/Volume
661,0.7352941176470589,0.7058823529411765,molWeight,molLogP,nof_Rings,nof_RotB
662,0.7352941176470589,0.7647058823529411,molWeight,molLogP,nof_Rings,nof_Fragments
663,0.7647058823529411,0.7352941176470589,molWeight,molLogP,nof_Rings,nof_PO4
664,0.7352941176470589,0.7352941176470589,molWeight,molLogP,nof_Rings,nof_SO3H
665,0.7941176470588235,0.7352941176470589,molWeight,molLogP,nof_Rings,nof_SH
667,0.7647058823529411,0.7058823529411765,molWeight,molLogP,nof_Rings,nof_COOH
668,0.7647058823529411,0.7352941176470589,molWeight,molLogP,nof_Rings,nof_OH
669,0.7058823529411765,0.7058823529411765,molWeight,molLogP,nof_Rings,nof_acetyl
